Suburb,Type,Bedroom2,Bathroom,Landsize,Price
Abbotsford,h,2.0,1.0,129.0,1050000.0
Abbotsford,h,2.0,1.0,138.0,1176500.0
Abbotsford,h,2.0,1.0,141.0,911000.0
Abbotsford,h,2.0,1.0,147.0,1315000.0
Abbotsford,h,2.0,1.0,150.0,890000.0
Abbotsford,h,2.0,1.0,156.0,1035000.0
Abbotsford,h,2.0,1.0,162.0,1180000.0
Abbotsford,h,2.0,1.0,172.0,1030000.0
Abbotsford,h,2.0,1.0,181.0,941000.0
Abbotsford,h,2.0,1.0,182.0,1012500.0
Abbotsford,h,2.0,1.0,195.0,1172500.0
Abbotsford,h,2.0,1.0,202.0,1480000.0
Abbotsford,h,2.0,1.0,238.0,1310000.0
Abbotsford,h,2.0,1.0,249.0,1242000.0
Abbotsford,h,2.0,1.0,256.0,1636000.0
Abbotsford,h,2.0,1.0,424.0,940000.0
Abbotsford,h,2.0,2.0,98.0,1135000.0
Abbotsford,h,2.0,2.0,124.0,1100000.0
Abbotsford,h,2.0,2.0,147.0,1190000.0
Abbotsford,h,3.0,1.0,120.0,1600000.0
Abbotsford,h,3.0,1.0,142.0,1635000.0
Abbotsford,h,3.0,1.0,168.0,1290000.0
Abbotsford,h,3.0,1.0,183.0,955000.0
Abbotsford,h,3.0,1.0,196.0,1000000.0
Abbotsford,h,3.0,1.0,198.0,1000000.0
Abbotsford,h,3.0,1.0,220.0,1097000.0
Abbotsford,h,3.0,1.0,270.0,1402500.0
Abbotsford,h,3.0,1.0,299.0,1375000.0
Abbotsford,h,3.0,2.0,92.0,1010000.0
Abbotsford,h,3.0,2.0,94.0,850000.0
Abbotsford,h,3.0,2.0,113.0,1200000.0
Abbotsford,h,3.0,2.0,120.0,1195000.0
Abbotsford,h,3.0,2.0,134.0,1465000.0
Abbotsford,h,3.0,2.0,147.0,1290000.0
Abbotsford,h,3.0,2.0,214.0,1350000.0
Abbotsford,h,3.0,3.0,166.0,1447500.0
Abbotsford,h,4.0,2.0,245.0,1876000.0
Abbotsford,h,4.0,2.0,780.0,1330000.0
Abbotsford,h,4.0,3.0,0.0,1542000.0
Abbotsford,t,3.0,2.0,0.0,900000.0
Abbotsford,t,4.0,2.0,102.0,1525000.0
Abbotsford,u,1.0,1.0,0.0,441000.0
Abbotsford,u,2.0,1.0,0.0,502500.0
Abbotsford,u,2.0,1.0,601.0,480000.0
Abbotsford,u,2.0,1.0,1521.0,550000.0
Abbotsford,u,2.0,1.0,2379.0,750000.0
Abbotsford,u,2.0,2.0,0.0,750000.0
Abbotsford,u,3.0,2.0,4290.0,1090000.0
Aberfeldie,h,2.0,1.0,0.0,670000.0
Aberfeldie,h,2.0,1.0,70.0,470000.0
Aberfeldie,h,2.0,1.0,373.0,840000.0
Aberfeldie,h,2.0,1.0,809.0,1705000.0
Aberfeldie,h,2.0,2.0,559.0,1346000.0
Aberfeldie,h,3.0,1.0,321.0,760000.0
Aberfeldie,h,3.0,1.0,465.0,1190000.0
Aberfeldie,h,3.0,1.0,528.0,1300000.0
Aberfeldie,h,3.0,1.0,645.0,1210000.0
Aberfeldie,h,3.0,2.0,311.0,1860000.0
Aberfeldie,h,3.0,2.0,381.0,1195000.0
Aberfeldie,h,3.0,2.0,402.0,2050000.0
Aberfeldie,h,3.0,2.0,496.0,1195000.0
Aberfeldie,h,3.0,2.0,673.0,1680000.0
Aberfeldie,h,3.0,2.0,676.0,1720000.0
Aberfeldie,h,3.0,2.0,1076.0,1350000.0
Aberfeldie,h,3.0,2.0,1315.0,2400000.0
Aberfeldie,h,3.0,3.0,240.0,1300000.0
Aberfeldie,h,3.0,3.0,839.0,1740000.0
Aberfeldie,h,4.0,2.0,273.0,1330000.0
Aberfeldie,h,4.0,2.0,484.0,1650000.0
Aberfeldie,h,4.0,2.0,578.0,1175000.0
Aberfeldie,h,4.0,2.0,674.0,1325000.0
Aberfeldie,h,4.0,2.0,746.0,1740000.0
Aberfeldie,h,4.0,2.0,766.0,1380000.0
Aberfeldie,h,4.0,3.0,511.0,1436000.0
Aberfeldie,h,4.0,3.0,757.0,1646000.0
Aberfeldie,h,4.0,4.0,670.0,3900000.0
Aberfeldie,h,5.0,3.0,486.0,1472000.0
Aberfeldie,h,5.0,3.0,557.0,2905000.0
Aberfeldie,h,5.0,4.0,730.0,1830000.0
Aberfeldie,t,3.0,2.0,217.0,935000.0
Aberfeldie,t,3.0,3.0,593.0,1300000.0
Aberfeldie,u,1.0,1.0,0.0,330000.0
Aberfeldie,u,1.0,1.0,1715.0,310000.0
Aberfeldie,u,2.0,1.0,0.0,442000.0
Aberfeldie,u,2.0,1.0,622.0,380000.0
Aberfeldie,u,2.0,1.0,976.0,470000.0
Aberfeldie,u,3.0,1.0,229.0,726000.0
Aberfeldie,u,3.0,2.0,309.0,1160000.0
Airport West,h,0.0,3.0,534.0,1026000.0
Airport West,h,2.0,1.0,272.0,603000.0
Airport West,h,2.0,1.0,290.0,600000.0
Airport West,h,2.0,1.0,374.0,650000.0
Airport West,h,2.0,1.0,612.0,675000.0
Airport West,h,2.0,1.0,620.0,720000.0
Airport West,h,3.0,1.0,0.0,805000.0
Airport West,h,3.0,1.0,219.0,640000.0
Airport West,h,3.0,1.0,488.0,510000.0
Airport West,h,3.0,1.0,551.0,850000.0
Airport West,h,3.0,1.0,573.0,905000.0
Airport West,h,3.0,1.0,579.0,685000.0
Airport West,h,3.0,1.0,585.0,720000.0
Airport West,h,3.0,1.0,589.0,845000.0
Airport West,h,3.0,1.0,594.0,872500.0
Airport West,h,3.0,1.0,597.0,785000.0
Airport West,h,3.0,1.0,612.0,662000.0
Airport West,h,3.0,1.0,614.0,790000.0
Airport West,h,3.0,1.0,623.0,805000.0
Airport West,h,3.0,1.0,626.0,880000.0
Airport West,h,3.0,1.0,697.0,975500.0
Airport West,h,3.0,1.0,717.0,961000.0
Airport West,h,3.0,1.0,767.0,1064000.0
Airport West,h,3.0,1.0,773.0,1250000.0
Airport West,h,3.0,1.0,775.0,910000.0
Airport West,h,3.0,1.0,841.0,985000.0
Airport West,h,3.0,1.0,971.0,830000.0
Airport West,h,3.0,1.0,1063.0,895000.0
Airport West,h,3.0,2.0,0.0,750000.0
Airport West,h,3.0,2.0,212.0,612000.0
Airport West,h,3.0,2.0,305.0,720000.0
Airport West,h,3.0,2.0,422.0,715000.0
Airport West,h,3.0,2.0,593.0,860000.0
Airport West,h,3.0,2.0,596.0,755000.0
Airport West,h,3.0,2.0,612.0,1042000.0
Airport West,h,3.0,2.0,657.0,670000.0
Airport West,h,3.0,2.0,697.0,1000001.0
Airport West,h,3.0,3.0,555.0,810000.0
Airport West,h,4.0,1.0,509.0,765000.0
Airport West,h,4.0,2.0,628.0,900000.0
Airport West,h,4.0,3.0,532.0,978000.0
Airport West,h,5.0,3.0,531.0,773000.0
Airport West,h,6.0,3.0,976.0,725000.0
Airport West,t,2.0,1.0,110.0,450000.0
Airport West,t,2.0,2.0,161.0,540000.0
Airport West,t,3.0,1.0,242.0,730000.0
Airport West,t,3.0,2.0,165.0,700000.0
Airport West,t,3.0,2.0,195.0,780000.0
Airport West,t,3.0,2.0,239.0,700000.0
Airport West,t,3.0,2.0,293.0,825000.0
Airport West,t,3.0,2.0,300.0,856000.0
Airport West,t,3.0,2.0,303.0,840000.0
Airport West,t,4.0,2.0,255.0,950000.0
Airport West,u,2.0,1.0,120.0,530000.0
Airport West,u,2.0,1.0,128.0,480000.0
Airport West,u,2.0,1.0,141.0,512500.0
Airport West,u,2.0,1.0,164.0,462500.0
Airport West,u,2.0,1.0,168.0,500000.0
Airport West,u,2.0,1.0,182.0,454000.0
Airport West,u,2.0,1.0,192.0,440000.0
Airport West,u,3.0,1.0,169.0,670000.0
Airport West,u,3.0,1.0,265.0,752000.0
Airport West,u,3.0,2.0,143.0,737500.0
Airport West,u,3.0,2.0,239.0,700000.0
Airport West,u,3.0,2.0,307.0,850000.0
Albanvale,h,3.0,1.0,529.0,526500.0
Albanvale,h,3.0,1.0,544.0,506000.0
Albanvale,h,3.0,1.0,566.0,555000.0
Albanvale,h,3.0,1.0,619.0,565000.0
Albanvale,h,4.0,3.0,531.0,655000.0
Albanvale,u,2.0,1.0,218.0,415000.0
Albert Park,h,1.0,1.0,81.0,985000.0
Albert Park,h,1.0,1.0,147.0,1110000.0
Albert Park,h,2.0,1.0,79.0,980000.0
Albert Park,h,2.0,1.0,111.0,1190000.0
Albert Park,h,2.0,1.0,120.0,1687500.0
Albert Park,h,2.0,1.0,130.0,1436000.0
Albert Park,h,2.0,1.0,136.0,1340000.0
Albert Park,h,2.0,1.0,141.0,1562500.0
Albert Park,h,2.0,1.0,149.0,1322500.0
Albert Park,h,2.0,1.0,159.0,1455000.0
Albert Park,h,2.0,1.0,162.0,1750000.0
Albert Park,h,2.0,1.0,164.0,1380000.0
Albert Park,h,2.0,1.0,167.0,1550000.0
Albert Park,h,2.0,1.0,171.0,1535000.0
Albert Park,h,2.0,1.0,178.0,2015000.0
Albert Park,h,2.0,1.0,199.0,2120000.0
Albert Park,h,2.0,1.0,236.0,2130000.0
Albert Park,h,2.0,1.0,240.0,1810000.0
Albert Park,h,2.0,1.0,254.0,2905000.0
Albert Park,h,2.0,1.0,263.0,2810000.0
Albert Park,h,2.0,1.0,288.0,1000000.0
Albert Park,h,3.0,1.0,129.0,1300000.0
Albert Park,h,3.0,1.0,130.0,1800000.0
Albert Park,h,3.0,1.0,149.0,1505000.0
Albert Park,h,3.0,1.0,163.0,2150000.0
Albert Park,h,3.0,1.0,178.0,1700000.0
Albert Park,h,3.0,1.0,185.0,2035000.0
Albert Park,h,3.0,1.0,186.0,1900000.0
Albert Park,h,3.0,1.0,202.0,1801000.0
Albert Park,h,3.0,1.0,209.0,1900000.0
Albert Park,h,3.0,1.0,225.0,2120000.0
Albert Park,h,3.0,1.0,238.0,2000000.0
Albert Park,h,3.0,1.0,241.0,2225000.0
Albert Park,h,3.0,1.0,253.0,1800000.0
Albert Park,h,3.0,2.0,0.0,1370000.0
Albert Park,h,3.0,2.0,90.0,1800000.0
Albert Park,h,3.0,2.0,128.0,1850000.0
Albert Park,h,3.0,2.0,130.0,2155000.0
Albert Park,h,3.0,2.0,132.0,1800000.0
Albert Park,h,3.0,2.0,137.0,2100000.0
Albert Park,h,3.0,2.0,140.0,2115000.0
Albert Park,h,3.0,2.0,147.0,2375000.0
Albert Park,h,3.0,2.0,152.0,1995000.0
Albert Park,h,3.0,2.0,162.0,2340000.0
Albert Park,h,3.0,2.0,165.0,2500000.0
Albert Park,h,3.0,2.0,177.0,2615000.0
Albert Park,h,3.0,2.0,183.0,2140000.0
Albert Park,h,3.0,2.0,211.0,2425000.0
Albert Park,h,3.0,2.0,228.0,2575000.0
Albert Park,h,3.0,2.0,325.0,3755000.0
Albert Park,h,3.0,3.0,0.0,2166000.0
Albert Park,h,4.0,1.0,306.0,2950000.0
Albert Park,h,4.0,1.0,327.0,3560000.0
Albert Park,h,4.0,2.0,152.0,2550000.0
Albert Park,h,4.0,2.0,153.0,2300000.0
Albert Park,h,4.0,2.0,330.0,4735000.0
Albert Park,h,4.0,3.0,327.0,2800000.0
Albert Park,h,5.0,2.0,237.0,2100000.0
Albert Park,t,2.0,1.0,115.0,1500000.0
Albert Park,t,3.0,2.0,718.0,1550000.0
Albert Park,u,1.0,1.0,0.0,771250.0
Albert Park,u,2.0,1.0,0.0,647000.0
Albert Park,u,2.0,1.0,324.0,685000.0
Albion,h,2.0,1.0,463.0,460000.0
Albion,h,2.0,1.0,497.0,541000.0
Albion,h,2.0,1.0,534.0,600000.0
Albion,h,2.0,1.0,672.0,765000.0
Albion,h,2.0,1.0,697.0,700000.0
Albion,h,3.0,1.0,423.0,570000.0
Albion,h,3.0,1.0,465.0,613000.0
Albion,h,3.0,1.0,534.0,760000.0
Albion,h,3.0,1.0,547.0,621000.0
Albion,h,3.0,1.0,695.0,625000.0
Albion,h,3.0,1.0,697.0,700000.0
Albion,h,3.0,1.0,706.0,720000.0
Albion,h,3.0,1.0,716.0,787000.0
Albion,h,3.0,1.0,743.0,791000.0
Albion,h,3.0,2.0,605.0,593000.0
Albion,h,3.0,2.0,628.0,730000.0
Albion,h,4.0,1.0,697.0,660000.0
Albion,h,4.0,1.0,837.0,816000.0
Albion,h,4.0,2.0,604.0,820000.0
Albion,h,4.0,2.0,689.0,800000.0
Albion,h,5.0,2.0,732.0,905000.0
Albion,t,2.0,1.0,0.0,319000.0
Albion,t,2.0,1.0,74.0,300000.0
