Suburb,SalesDifference,NumberofSales
Abbotsford,12.751592356687901,56
Aberfeldie,0.751592356687901,44
Airport West,23.7515923566879,67
Albanvale,-37.2484076433121,6
Albert Park,25.7515923566879,69
Albion,-2.248407643312099,41
Alphington,-9.248407643312099,34
Altona,30.7515923566879,74
Altona Meadows,-37.2484076433121,6
Altona North,12.751592356687901,56
Ardeer,-40.2484076433121,3
Armadale,51.7515923566879,95
Ascot Vale,86.7515923566879,130
Ashburton,16.7515923566879,60
Ashwood,2.751592356687901,46
Aspendale,-36.2484076433121,7
Aspendale Gardens,-39.2484076433121,4
Attwood,-42.2484076433121,1
Avondale Heights,30.7515923566879,74
Bacchus Marsh,-42.2484076433121,1
Balaclava,-16.2484076433121,27
Balwyn,63.7515923566879,107
Balwyn North,127.7515923566879,171
Bayswater,-29.2484076433121,14
Bayswater North,-35.2484076433121,8
Beaconsfield,-41.2484076433121,2
Beaconsfield Upper,-42.2484076433121,1
Beaumaris,-25.2484076433121,18
Bellfield,-27.2484076433121,16
Bentleigh,95.7515923566879,139
Bentleigh East,205.7515923566879,249
Berwick,-30.2484076433121,13
Black Rock,-31.2484076433121,12
Blackburn,-22.2484076433121,21
Blackburn North,-29.2484076433121,14
Blackburn South,-31.2484076433121,12
Bonbeach,-39.2484076433121,4
Boronia,-29.2484076433121,14
Box Hill,15.751592356687901,59
Braybrook,2.751592356687901,46
Briar Hill,-35.2484076433121,8
Brighton,142.7515923566879,186
Brighton East,94.7515923566879,138
Broadmeadows,-20.2484076433121,23
Brookfield,-42.2484076433121,1
Brooklyn,-34.2484076433121,9
Brunswick,178.7515923566879,222
Brunswick East,44.7515923566879,88
Brunswick West,66.7515923566879,110
Bulleen,27.7515923566879,71
Bullengarook,-42.2484076433121,1
Bundoora,-7.248407643312099,36
Burnley,-36.2484076433121,7
Burnside,-41.2484076433121,2
Burnside Heights,-40.2484076433121,3
Burwood,40.7515923566879,84
Burwood East,-27.2484076433121,16
Cairnlea,-36.2484076433121,7
Camberwell,88.7515923566879,132
Campbellfield,-39.2484076433121,4
Canterbury,10.751592356687901,54
Carlton,7.751592356687901,51
Carlton North,4.751592356687901,48
Carnegie,102.7515923566879,146
Caroline Springs,-32.2484076433121,11
Carrum,-34.2484076433121,9
Carrum Downs,-31.2484076433121,12
Caulfield,-31.2484076433121,12
