Suburb,Regionname,MedianPrice
Abbotsford,Northern Metropolitan,1093500.0
Airport West,Western Metropolitan,755000.0
Albert Park,Southern Metropolitan,1900000.0
Alphington,Northern Metropolitan,1516000.0
Altona,Western Metropolitan,773500.0
Altona North,Western Metropolitan,770000.0
Armadale,Southern Metropolitan,1200000.0
Ascot Vale,Western Metropolitan,1007500.0
Ashburton,Southern Metropolitan,1658500.0
Ashwood,Southern Metropolitan,1163000.0
Avondale Heights,Western Metropolitan,769000.0
Balaclava,Southern Metropolitan,520000.0
Balwyn,Southern Metropolitan,1850000.0
Balwyn North,Southern Metropolitan,1739000.0
Bentleigh,Southern Metropolitan,1286000.0
Bentleigh East,Southern Metropolitan,1085000.0
Box Hill,Eastern Metropolitan,1325000.0
Braybrook,Western Metropolitan,665000.0
Brighton,Southern Metropolitan,1773500.0
Brighton East,Southern Metropolitan,1590000.0
Brunswick,Northern Metropolitan,952500.0
Brunswick West,Northern Metropolitan,881250.0
Bulleen,Eastern Metropolitan,1160000.0
Burwood,Southern Metropolitan,1262500.0
Camberwell,Southern Metropolitan,1695000.0
Canterbury,Southern Metropolitan,1890000.0
Carlton North,Northern Metropolitan,1463000.0
Carnegie,Southern Metropolitan,875000.0
Caulfield,Southern Metropolitan,644000.0
Caulfield North,Southern Metropolitan,622000.0
Caulfield South,Southern Metropolitan,1160500.0
Chadstone,Southern Metropolitan,965000.0
Clifton Hill,Northern Metropolitan,1180000.0
Coburg,Northern Metropolitan,901000.0
Coburg North,Northern Metropolitan,780000.0
Collingwood,Northern Metropolitan,910000.0
Doncaster,Eastern Metropolitan,1292500.0
Eaglemont,Eastern Metropolitan,1901000.0
Elsternwick,Southern Metropolitan,1060000.0
Elwood,Southern Metropolitan,687500.0
Essendon,Western Metropolitan,1000000.0
Essendon North,Western Metropolitan,792500.0
Fairfield,Northern Metropolitan,1125000.0
Fitzroy,Northern Metropolitan,1100000.0
Fitzroy North,Northern Metropolitan,1275000.0
Flemington,Northern Metropolitan,917500.0
Footscray,Western Metropolitan,751000.0
Glen Iris,Southern Metropolitan,1660000.0
