Suburb,NumberSold,RelativeSales,GlobalAverage
Abbotsford,56,0.2253126310550546,0
Aberfeldie,44,0.8874547965155855,0
Airport West,67,0.4708784357440199,0
Albanvale,6,-0.5278493604653915,0
Albert Park,69,0.5478351650330522,0
Albion,41,0.4446553537290031,0
Alphington,34,0.290874625855673,0
Altona,74,0.2264848780564555,0
Altona Meadows,6,-0.7433727473447762,0
Altona North,56,0.0880947246359039,0
Ardeer,3,-0.6021038874202832,0
Armadale,95,0.4846158401107892,0
Ascot Vale,130,0.4915003849745581,0
Ashburton,60,0.4852926771402828,0
Ashwood,46,0.314364082769868,0
Aspendale,7,-0.5896772500845128,0
Aspendale Gardens,4,-0.6528331886871884,0
Attwood,1,-0.7344195492967088,0
Avondale Heights,74,0.3389835655356465,0
Bacchus Marsh,1,-0.7831554932501829,0
Balaclava,27,0.0079231220318526,0
Balwyn,107,0.4477020178780087,0
Balwyn North,171,0.5869416521454355,0
Bayswater,14,-0.562019548608629,0
Bayswater North,8,-0.612862210963988,0
Beaconsfield,2,-0.7369008977376766,0
Beaconsfield Upper,1,-0.7214516205454115,0
Beaumaris,18,-0.510149662389483,0
Bellfield,16,0.512261602965787,0
Bentleigh,139,0.5214818423552894,0
Bentleigh East,249,0.6233827922201804,0
Berwick,13,-0.7457180100604568,0
Black Rock,12,-0.434539345513762,0
Blackburn,21,-0.480963851921187,0
Blackburn North,14,-0.371319359290432,0
Blackburn South,12,-0.5663737879289612,0
Bonbeach,4,-0.688960201099993,0
Boronia,14,-0.6837670951033,0
Box Hill,59,0.1743805947954397,0
Braybrook,46,0.1745976430260716,0
Briar Hill,8,-0.2921058011234756,0
Brighton,186,0.3909694913675252,0
Brighton East,138,0.4957918439490284,0
Broadmeadows,23,-0.3283490535537694,0
Brookfield,1,-0.7856986309580328,0
Brooklyn,9,0.017421015000049,0
Brunswick,222,0.4384337510246379,0
Brunswick East,88,0.3148007934119501,0
Brunswick West,110,0.2978982574738106,0
Bulleen,71,0.3122416774047814,0
Bullengarook,1,-0.4500648794405734,0
Bundoora,36,-0.4934731641819166,0
Burnley,7,0.3183045915478213,0
Burnside,2,-0.7017621867119064,0
Burnside Heights,3,-0.6531934077253528,0
Burwood,84,0.2643692735427049,0
Burwood East,16,-0.455831247643028,0
Cairnlea,7,-0.5770495153335038,0
Camberwell,132,0.2645629272252479,0
Campbellfield,4,-0.6224827991881098,0
